,Unnamed: 0,open_time,open,high,low,close,volume,close_time,count,long,rsi_value,rsi_over_80,rsi_under_20,stochRsi_value,stoch_K_value,stoch_D_value,stoch_K_cross_D_bullish,stoch_K_cross_D_bearish,stochRsi_over_80,stochRsi_under_20,pSar_value,price_over_pSar,sma_value_9,price_over_sma,ichimoku_span_A,ichimoku_span_B,ichimoku_tenkan_sen,ichimoku_kijun_sen,tenkan_over_kijun,spanaA_over_spanB,ichimoku_price_in_cloud_color
15,15,1633100400000,47133.67,47490.71,47039.94,47363.68,3517.29015,1633103999999,80304,1,83.63527132069147,1,0,0.8753552742170362,0.8246040670715781,0.0,1,0,1,0,45497.14910069955,1,46433.194444444445,1,45742.8775,45584.57,45901.185,45584.57,1,0,1
16,16,1633104000000,47363.69,47850.0,47232.98,47559.88,2884.13063,1633107599999,73851,0,84.5419727439671,1,0,0.8029774890458945,0.8272575174976705,0.0,1,0,1,0,45783.824408615605,1,46741.13444444445,1,45938.8125,45584.57,46293.055,45584.57,1,0,1
17,17,1633107600000,47566.0,47700.0,47397.01,47617.29,1433.33933,1633111199999,43252,0,84.80722904303614,1,0,0.808513370011207,0.8289487110913792,0.8269367652202093,1,0,1,0,46036.09867958173,1,47037.96666666667,1,45955.634999999995,45584.57,46326.7,45584.57,1,0,1
18,18,1633111200000,47617.29,47928.0,47437.86,47724.18,1810.50879,1633114799999,66769,0,85.31257805664468,1,0,0.7325149779631431,0.7813352790067483,0.812513835865266,0,0,0,0,46258.100038031924,1,47351.09777777778,1,45992.1075,45605.515,46378.7,45605.515,1,0,1
19,19,1633114800000,47724.17,48190.0,47705.68,48030.0,2275.13793,1633118399999,71324,-1,86.67791580072482,1,0,0.7194570423999043,0.7534951301247514,0.7879263734076263,0,1,0,0,46491.88603270746,1,47456.49111111111,1,46606.6775,45736.515,47476.84,45736.515,1,0,1
20,20,1633118400000,48029.99,48183.17,47721.74,48090.42,1733.29267,1633121999999,62971,-1,86.9362966695679,1,0,0.42397037216648,0.6253141308431758,0.7200481799915585,0,1,0,0,46763.58426747427,1,47523.41777777777,1,46606.6775,45736.515,47476.84,45736.515,1,0,1
21,21,1633122000000,48090.43,48430.0,48062.59,48344.93,2069.84931,1633125599999,90740,-1,87.99272815590717,1,0,0.5103344049778452,0.5512539398480766,0.6433544002720013,0,1,0,0,46991.81078467838,1,47649.03555555555,1,46726.6775,45856.515,47596.84,45856.515,1,0,1
22,22,1633125600000,48344.93,48495.0,47710.01,48001.0,2501.54226,1633129199999,79466,-1,78.72759044015257,0,0,0.0,0.3114349257147751,0.49600099880200915,0,1,0,1,47250.68484343628,1,47762.375555555554,1,46759.1775,45889.015,47629.34,45889.015,1,0,1
23,23,1633129200000,48000.99,48171.37,47910.36,48141.61,967.64512,1633132799999,39289,-1,79.67006973267372,0,0,0.061782157417449045,0.19070552079843148,0.35113146212042773,0,1,0,1,47499.54787474902,1,47874.776666666665,1,46828.2425,45889.015,47767.47,45889.015,1,0,1
24,24,1633132800000,48141.6,48224.01,47610.76,47817.73,2213.00452,1633136399999,61863,-1,71.7811399941539,0,0,0.0,0.020594052472483016,0.17424483299522986,0,1,0,1,48495.0,0,47925.22666666666,0,46876.5025,45889.015,47863.990000000005,45889.015,1,0,1
25,25,1633136400000,47817.73,48113.68,47692.51,47736.82,1408.80517,1633139999999,43093,-1,69.91854669016857,0,0,0.0,0.020594052472483016,0.07729787524779917,0,1,0,1,48477.3152,0,47944.886666666665,0,46917.51,45889.015,47946.005000000005,45889.015,1,0,1
26,26,1633140000000,47736.81,47880.6,47634.94,47708.51,1130.79157,1633143599999,30971,-1,69.24153414037838,0,0,0.0,0.0,0.013729368314988678,0,1,0,1,48459.984096,0,47955.02222222222,0,46927.7225,45889.015,47966.43,45889.015,1,0,1
