,open_time,open,high,low,close,volume,close_time,count,long
0,1633046400000,43820.01,44059.0,43661.63,43694.48,2001.56071,1633049999999,46349,1
1,1633050000000,43696.14,43803.94,43417.61,43742.74,1292.55848,1633053599999,31943,1
2,1633053600000,43742.74,43794.89,43283.03,43379.01,1348.70735,1633057199999,30477,1
3,1633057200000,43379.0,43680.0,43352.28,43635.79,993.1198,1633060799999,25845,1
4,1633060800000,43635.79,43715.71,43456.46,43625.02,982.32555,1633064399999,24892,1
5,1633064400000,43625.02,43923.21,43515.61,43850.33,1190.57391,1633067999999,28257,1
6,1633068000000,43850.32,44048.56,43729.0,43995.09,1537.37407,1633071599999,34797,1
7,1633071600000,43995.1,44836.0,43916.26,44788.42,4789.79567,1633075199999,104421,1
8,1633075200000,44788.42,44999.0,44700.0,44945.8,2953.83714,1633078799999,78275,1
9,1633078800000,44945.81,45000.0,44767.29,44906.0,1809.73051,1633082399999,56723,1
10,1633082400000,44905.99,47786.7,44829.4,47081.46,12252.88214,1633085999999,292718,1
11,1633086000000,47081.47,47659.32,46957.48,47488.08,4669.20863,1633089599999,125755,1
12,1633089600000,47488.07,47886.11,47170.23,47214.37,5156.10571,1633093199999,119452,1
13,1633093200000,47214.37,47379.99,46957.14,46980.94,2595.13896,1633096799999,71442,1
14,1633096800000,46980.94,47347.53,46763.68,47130.0,3479.2201,1633100399999,91925,1
15,1633100400000,47133.67,47490.71,47039.94,47363.68,3517.29015,1633103999999,80304,1
16,1633104000000,47363.69,47850.0,47232.98,47559.88,2884.13063,1633107599999,73851,0
17,1633107600000,47566.0,47700.0,47397.01,47617.29,1433.33933,1633111199999,43252,0
18,1633111200000,47617.29,47928.0,47437.86,47724.18,1810.50879,1633114799999,66769,0
19,1633114800000,47724.17,48190.0,47705.68,48030.0,2275.13793,1633118399999,71324,-1
20,1633118400000,48029.99,48183.17,47721.74,48090.42,1733.29267,1633121999999,62971,-1
21,1633122000000,48090.43,48430.0,48062.59,48344.93,2069.84931,1633125599999,90740,-1
22,1633125600000,48344.93,48495.0,47710.01,48001.0,2501.54226,1633129199999,79466,-1
23,1633129200000,48000.99,48171.37,47910.36,48141.61,967.64512,1633132799999,39289,-1
24,1633132800000,48141.6,48224.01,47610.76,47817.73,2213.00452,1633136399999,61863,-1
25,1633136400000,47817.73,48113.68,47692.51,47736.82,1408.80517,1633139999999,43093,-1
26,1633140000000,47736.81,47880.6,47634.94,47708.51,1130.79157,1633143599999,30971,-1
27,1633143600000,47708.51,47790.0,47443.98,47520.84,1385.9011,1633147199999,37423,0
28,1633147200000,47520.84,47716.9,47430.18,47569.92,1546.20462,1633150799999,42900,-1
29,1633150800000,47569.92,47853.15,47510.18,47749.32,940.76735,1633154399999,38149,-1
30,1633154400000,47749.32,47900.0,47662.1,47801.94,907.83577,1633157999999,33900,-1
31,1633158000000,47801.94,47865.96,47705.04,47725.01,1040.20915,1633161599999,27235,-1
32,1633161600000,47725.0,47774.84,47516.56,47723.91,975.15432,1633165199999,32685,-1
33,1633165200000,47723.91,47899.01,47666.0,47708.43,822.47467,1633168799999,29267,-1
34,1633168800000,47708.44,47762.29,47530.24,47606.05,749.13263,1633172399999,24884,-1
35,1633172400000,47606.04,47734.94,47478.44,47683.45,924.61599,1633175999999,30772,-1
36,1633176000000,47683.46,47785.0,47616.8,47729.23,986.13851,1633179599999,30905,-1
37,1633179600000,47729.24,48336.59,47630.1,47825.16,3093.39776,1633183199999,73910,-1
38,1633183200000,47825.17,48123.44,47790.43,48019.26,1840.72216,1633186799999,61554,-1
39,1633186800000,48019.99,48054.48,47810.0,47828.52,1161.74641,1633190399999,42146,-1
40,1633190400000,47831.94,48016.21,47650.0,48004.69,1728.70378,1633193999999,52041,-1
41,1633194000000,48004.69,48064.25,47826.19,47879.99,949.95603,1633197599999,36535,1
42,1633197600000,47879.99,47928.35,47720.0,47864.02,904.18793,1633201199999,35625,1
43,1633201200000,47864.01,48267.0,47864.01,48239.99,1401.69915,1633204799999,46425,1
44,1633204800000,48240.0,48269.39,47874.98,47996.24,1146.99465,1633208399999,42467,1
45,1633208400000,47996.24,48167.58,47988.77,48125.9,571.95336,1633211999999,39641,-1
46,1633212000000,48125.9,48300.0,48045.16,48049.34,904.85254,1633215599999,33403,1
47,1633215600000,48049.33,48184.0,47500.0,47634.9,1773.73217,1633219199999,68322,1
48,1633219200000,47634.89,47808.19,47088.0,47272.06,2272.9527,1633222799999,81063,1
49,1633222800000,47274.57,47609.88,47223.27,47516.37,1187.82173,1633226399999,41056,1
50,1633226400000,47516.38,47769.99,47500.0,47620.36,941.31649,1633229999999,33707,1
51,1633230000000,47620.37,47963.0,47534.34,47898.66,826.12062,1633233599999,29452,-1
52,1633233600000,47894.44,47963.0,47788.34,47890.78,633.7895,1633237199999,23300,-1
53,1633237200000,47890.78,48100.0,47860.11,47990.14,735.55957,1633240799999,28818,-1
54,1633240800000,47990.13,48057.0,47896.93,47972.99,617.25174,1633244399999,33180,-1
55,1633244400000,47970.15,47970.16,47814.0,47895.99,569.31948,1633247999999,28328,-1
